unique_id;station;station_new;Transect;depth;pressure;t190C;sal00;sbeox0ML/L;sigma;Cruise;Lat ;Lon;Bot.Depth [m];Nitrate;Phosphate;Silicate;Distance_from_shore;Profile feature;HPLC_ID;Microscopy ID;Flow cyt phyto ID;Diatoms;Dinoflagellates;Cryptophytes;Pelagophytes;T4haptophytes;Prasinophytes;Chlorophytes;Synechococcus;Chl_c3;Peri;19-But;Fuco;Neox;Pras;Viola;Asta;Allox;Zea;Lut;Chl_b;div_Chl_a;Chl_a
104_1_15;104_1;T6_2;Transect 6;15;15.09322;16.8831;35.0618;1.55894;25.5618;MSM80;-15.999;-74.333;620;10.822;1.614;6.013;33;Chla max (18);375;163;361;1170.200562;1692.840332;535.0092163;16.52223396;200.8684692;108.6703644;11.80820465;92.16786957;121.2611;1290.056;29.0149;903.0025;16.5867;43.0952;10.2305;24.8494;110.1262;74.6128;13.5396;114.339;27.1856;3828.0876
1_25;1;T1_6;Transect 1;25;25.17605;22.2051;35.3726;4.45281;24.4317;MSM80;-8.499;-80.999;6229;12.191;1.032;4.654;230;Chla (MLD 35 m);2;NA;2;9.665527344;10.40239334;5.965580463;55.27426147;35.68622208;61.82695007;7.179691792;71.63349915;34.6966;6.4715;66.7865;18.7959;6.4579;0;4.6603;3.9414;1.0999;63.3746;5.338;83.9399;65.3811;257.6341
4_25;4;T1_5;Transect 1;25;25.14611;20.6514;35.2437;4.36768;24.751;MSM80;-8.516;-80.493;1328;15.043;1.261;1.92;175;Chla max (MLD 20 m);8;5;8;65.01656342;24.05096626;28.24814224;83.60390472;121.4074326;126.7578049;12.84528828;133.0666351;83.8403;12.9682;98.0304;48.4854;13.4008;2.0614;7.3868;8.8043;4.3814;109.3073;9.2615;157.5708;105.4817;594.9967
7_25;7;T1_4;Transect 1;25;25.17822;21.9139;35.3174;4.42346;24.4504;MSM80;-8.499;-80.031;356;15.777;1.358;5.254;120;Chla max (MLD 20 m);17;8;16;51.08937454;15.67564487;44.49910736;97.220047;92.67250061;184.8688965;23.24795151;133.6430664;73.9729;8.2799;114.3073;39.1758;18.9478;0.717;16.2041;6.9733;7.4099;111.6915;16.278;231.6635;98.6212;642.9166
10_25;10;T1_3;Transect 1;25;25.167;21.0007;35.0484;4.52671;24.5368;MSM80;-8.499;-79.667;101;14.77;1.348;7.159;80;NA;23;11;22;326.0207214;14.3714819;60.62003708;15.81446838;104.8357468;97.90016174;9.456408501;32.24291992;66.7226;12.625;24.0581;292.9978;11.6469;23.9061;8.7621;8.1801;13.3166;27.6769;8.9314;103.7166;3.0776;661.2619
14_25;14;T1_1;Transect 1;25;25.17202;18.4825;35.068;2.00612;25.1894;MSM80;-8.499;-79.167;64;21.712;1.549;8.728;25;NA;35;17;33;2201.7854;217.3080597;48.95529938;11.21137428;183.3282166;38.81027985;7.812078476;31.88427162;107.5863;145.8065;20.2696;1556.251;3.0273;8.3398;7.5626;16.9428;11.96;25.1307;6.5265;46.1183;0;2741.0947
18_30;18;T2_5;Transect 2;30;30.19678;22.3394;35.2546;4.4338;24.3173;MSM80;-9.499;-80.003;2423;12.602;1.014;3.784;176;Base ML;62;NA;58;0;4.89598465;5.592457771;40.14463425;45.04484558;64.2024231;7.563650131;182.4496155;39.1101;6.1115;51.9615;21.0977;6.3582;0;4.3983;4.9164;2.3025;165.6874;6.3388;104.2115;169.2873;349.8936
20_27;20;T2_4;Transect 2;27;NA;NA;35.1025;NA;NA;MSM80;-9.499;-79.668;891;11.732;1.028;5.126;140;Chla max;68;30;64;147.521759;16.77597618;53.42699051;27.24975967;179.2476654;147.5934753;0;18.3727932;95.7133;8.1878;34.9699;96.3384;14.3389;35.0337;7.0421;9.8387;8.4439;14.3747;1.828;122.6522;1.3739;590.1884
22_28;22;T2_3;Transect 2;28;28.1916;20.9174;35.0749;3.88114;24.5503;MSM80;-9.499;-79.339;152;8.116;0.918;2.359;103;Chla max;75;32;71;34.41440201;12.96582508;31.37976837;26.64378357;34.75946045;61.23917389;1.59276855;26.64748955;23.4779;6.4632;29.8089;13.2409;7.0607;4.7642;3.7503;2.4731;4.8691;18.6108;1.3275;62.1178;8.2253;229.6426
22_35;22;T2_3;Transect 2;35;35.23192;19.3382;35.0194;2.7648;24.8769;MSM80;-9.499;-79.339;152;11.469;1.161;5.372;103;NA;76;33;72;42.22860336;12.21543598;40.43283844;48.94339752;87.04647827;134.5310059;0;12.54653072;55.654;6.0278;56.3511;28.1683;12.2904;20.0664;4.6947;6.0043;6.4383;14.1124;0.7924;130.9324;14.1607;377.9443
28_25;28;T2_2;Transect 2;25;25.17088;21.1868;35.1526;3.58924;24.555;MSM80;-9.499;-78.667;107;16.751;1.478;5.728;28;Chla max;88;38;83;57.16475677;18.56410789;21.31838036;33.95694351;55.8259201;78.80413055;2.058212519;13.87943363;35.1363;9.2203;37.8699;25.0916;8.7616;9.8115;5.3818;4.954;3.0016;10.5759;1.7793;73.235;4.1646;281.5719
38_30;38;T3_1;Transect 3;30;30.15448;17.7505;35.051;0.29353;25.3744;MSM80;-11.996;-77.338;104;30.088;2.055;14.261;22;NA;130;55;125;701.3692627;17.60006714;200.5795288;12.6657896;50.33372498;31.78738976;12.67176056;40.57486343;31.3717;12.2064;16.8895;471.431;3.7886;8.5379;4.0536;33.9926;37.7134;27.9161;9.7098;31.6032;0;1067.5824
40_25;40;T3_2;Transect 3;25;25.15207;17.4994;35.0569;0.96274;25.4357;MSM80;-12;-77.499;139;24.115;1.887;10.236;40;NA;134;58;129;1035.780518;39.40700912;225.4874573;43.17442703;17.61727905;44.03857803;12.74776649;65.82865143;21.8369;25.049;51.8821;661.0654;6.3084;9.1511;17.6208;29.7242;41.6365;43.4251;8.2572;36.9474;0;1484.0815
